,columns,feat_selection,featsel_chi2,featsel_chi2_pvals,in_tree
0,RevolvingUtilizationOfUnsecuredLines,False,0.15114583670465143,0.6974427519065519,
1,age,True,49.9605936344502,1.5686487470592662e-12,True
2,NumberOfTime30-59DaysPastDueNotWorse,True,597.036875752665,7.384222460666112e-132,True
3,DebtRatio,False,0.14440565328208355,0.703939893535688,
4,MonthlyIncome,False,0.4834617682307732,0.48685844803429923,
5,NumberOfOpenCreditLinesAndLoans,False,4.7716049601579105,0.028932841339382093,
6,NumberOfTimes90DaysLate,True,859.0751770408953,7.737772155442764e-189,True
7,NumberRealEstateLoansOrLines,False,0.025192014642761187,0.8738895391709802,
8,NumberOfTime60-89DaysPastDueNotWorse,True,683.926394211939,9.355632738576809e-151,True
9,NumberOfDependents,True,20.30751456334914,6.5941093671878455e-06,True
