,age,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse,prob_class_1,NumberOfTimes90DaysLate
0,45,0,2.0,2,0.1,0
1,40,0,1.0,0,0.1,0
2,38,0,0.0,1,0.45121951219512196,1
3,30,0,0.0,0,0.02702702702702703,0
4,49,0,0.0,1,0.02702702702702703,0
5,74,0,1.0,0,0.1,0
7,39,0,0.0,0,0.1,0
9,57,0,2.0,0,0.1,0
10,30,0,0.0,0,0.1,0
11,51,0,2.0,0,0.65,0
12,46,0,2.0,0,0.02702702702702703,0
13,40,1,2.0,3,0.1,3
14,76,0,0.0,0,0.02702702702702703,0
15,64,0,2.0,0,0.1,0
17,53,0,0.0,0,0.02702702702702703,0
18,43,0,2.0,0,0.1,0
19,25,0,0.0,0,0.02702702702702703,0
20,43,0,0.0,0,0.02702702702702703,0
21,38,0,2.0,0,0.02702702702702703,0
22,39,0,0.0,0,0.1,0
23,32,0,0.0,0,0.02702702702702703,0
24,58,0,0.0,0,0.1,0
25,50,0,1.0,0,0.02702702702702703,0
26,58,0,0.0,0,0.02702702702702703,0
27,69,0,1.0,0,0.02702702702702703,0
28,24,0,0.0,0,0.02702702702702703,0
29,58,0,0.0,2,0.02702702702702703,0
30,28,0,0.0,1,0.02702702702702703,0
31,24,0,0.0,0,0.02702702702702703,0
33,57,0,0.0,0,0.1,0
34,42,0,0.0,2,0.02702702702702703,0
35,64,0,0.0,0,0.02702702702702703,0
36,50,0,1.0,3,0.02702702702702703,0
37,75,0,1.0,1,0.1,0
38,26,0,0.0,0,0.1,0
39,52,0,0.0,0,0.02702702702702703,0
40,41,0,0.0,1,0.1,0
42,31,0,1.0,0,0.02702702702702703,0
43,28,0,1.0,0,0.1,0
44,68,0,0.0,0,0.43333333333333335,0
45,70,0,2.0,0,0.3333333333333333,0
46,62,0,0.0,0,0.1,0
47,31,0,0.0,0,0.02702702702702703,0
48,38,0,2.0,0,0.02702702702702703,0
49,70,0,0.0,0,0.02702702702702703,1
50,73,1,0.0,0,0.1,0
51,31,0,1.0,0,0.02702702702702703,0
53,51,0,0.0,0,0.02702702702702703,0
54,29,0,0.0,0,0.02702702702702703,0
55,55,0,0.0,0,0.1,0
56,46,0,1.0,1,0.02702702702702703,0
57,64,0,0.0,0,0.02702702702702703,0
59,35,0,2.0,0,0.02702702702702703,0
60,58,0,0.0,0,0.4166666666666667,0
61,69,0,0.0,0,0.1,0
63,46,0,2.0,0,0.43333333333333335,0
64,60,0,0.0,0,0.1,0
65,67,0,0.0,0,0.1,0
66,55,0,1.0,2,0.1,0
67,27,0,0.0,1,0.02702702702702703,0
68,31,0,2.0,0,0.02702702702702703,1
69,64,0,3.0,0,0.1,0
70,36,0,1.0,0,0.1,0
72,56,0,0.0,0,0.02702702702702703,1
73,31,0,1.0,0,0.1,0
74,49,0,3.0,1,0.02702702702702703,0
75,36,0,3.0,0,0.02702702702702703,0
76,29,0,0.0,0,0.1,0
77,37,0,0.0,0,0.3333333333333333,0
78,69,0,1.0,0,0.1,0
79,41,0,2.0,0,0.02702702702702703,0
80,52,0,1.0,0,0.02702702702702703,0
81,66,0,0.0,0,0.02702702702702703,0
82,53,0,2.0,0,0.1,0
83,56,0,0.0,0,0.02702702702702703,0
84,31,0,0.0,0,0.65,0
85,58,0,1.0,0,0.02702702702702703,0
87,64,1,0.0,0,0.02702702702702703,0
88,45,0,2.0,0,0.02702702702702703,0
89,60,0,0.0,0,0.02702702702702703,0
90,51,0,0.0,0,0.1,0
91,83,0,0.0,0,0.02702702702702703,0
93,34,0,1.0,0,0.02702702702702703,0
94,44,0,0.0,0,0.1,0
95,37,1,0.0,0,0.02702702702702703,1
97,57,0,0.0,0,0.02702702702702703,0
98,32,0,0.0,0,0.02702702702702703,0
99,75,0,0.0,0,0.1,0
101,34,0,0.0,0,0.02702702702702703,0
102,52,0,0.0,0,0.1,0
103,44,0,1.0,0,0.02702702702702703,0
104,57,0,0.0,0,0.02702702702702703,0
105,46,0,3.0,0,0.02702702702702703,0
106,80,0,0.0,0,0.02702702702702703,0
107,32,0,1.0,0,0.3333333333333333,0
108,62,0,0.0,0,0.02702702702702703,0
110,47,0,2.0,0,0.02702702702702703,0
111,58,0,0.0,0,0.02702702702702703,0
112,52,0,0.0,0,0.02702702702702703,0
113,68,0,1.0,0,0.02702702702702703,0
114,39,0,3.0,1,0.02702702702702703,0
116,46,0,0.0,0,0.02702702702702703,0
117,44,0,1.0,0,0.02702702702702703,0
119,68,0,0.0,0,0.1,0
120,31,0,0.0,0,0.02702702702702703,0
121,34,0,0.0,0,0.1,0
122,67,0,0.0,0,0.02702702702702703,0
123,58,1,4.0,0,0.1,0
125,58,0,0.0,0,0.1,0
126,61,0,0.0,0,0.1,0
127,59,0,0.0,0,0.02702702702702703,0
128,36,0,0.0,0,0.1,0
129,59,0,0.0,0,0.02702702702702703,0
131,77,0,0.0,0,0.1,0
132,48,0,0.0,0,0.1,0
133,81,0,1.0,0,0.02702702702702703,0
134,51,0,0.0,0,0.1,0
135,53,0,0.0,0,0.02702702702702703,0
136,56,0,2.0,0,0.1,0
137,63,0,1.0,0,0.02702702702702703,0
138,55,0,0.0,0,0.1,0
139,54,0,1.0,0,0.1,0
140,55,0,0.0,0,0.1,0
142,53,0,3.0,0,0.02702702702702703,0
144,31,0,0.0,0,0.1,0
145,38,0,4.0,0,0.02702702702702703,0
146,40,0,2.0,0,0.02702702702702703,0
147,48,0,0.0,1,0.02702702702702703,0
148,50,0,3.0,0,0.1,0
149,34,0,0.0,0,0.02702702702702703,0
150,48,0,5.0,2,0.1,0
151,57,0,1.0,1,0.1,0
152,30,0,1.0,0,0.4166666666666667,0
153,28,0,0.0,0,0.02702702702702703,0
154,36,0,1.0,0,0.02702702702702703,0
155,60,0,0.0,0,0.1,0
156,58,0,4.0,0,0.43333333333333335,0
157,49,0,0.0,0,0.02702702702702703,0
158,40,0,3.0,0,0.3333333333333333,0
160,50,0,1.0,1,0.02702702702702703,0
162,47,0,1.0,1,0.02702702702702703,0
163,63,0,2.0,0,0.65,0
164,42,0,0.0,0,0.1,0
165,54,0,0.0,2,0.02702702702702703,0
167,29,0,2.0,0,0.1,0
168,36,0,0.0,0,0.02702702702702703,0
169,33,0,0.0,0,0.02702702702702703,0
170,72,0,0.0,0,0.02702702702702703,0
172,53,0,3.0,0,0.1,0
